"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"Calhoun County","FL",,1614,1195,-0.0216,0.0032,0.0159,3501
2020-01-31,"Screven County","GA",,1615,1052,0.027,0.0241,0.0398,4190
2020-01-31,"Crockett County","TN","Jackson",1616,945,0.0153,0.0482,0.0655,5496
2020-01-31,"Trinity County","TX","Huntsville",1617,1180,0.0086,-0.0007,-0.0006,5012
2020-01-31,"Lamar County","AL",,1618,831,0,0.0118,-0.0086,3764
2020-01-31,"Braxton County","WV",,1619,852,0.0056,0.021,0.0132,5075
2020-01-31,"Long County","GA","Hinesville",1620,986,0.0153,0.0178,-0.0155,5755
2020-01-31,"Newton County","TX","Beaumont-Port Arthur",1621,1186,0.0224,-0.0038,0.0053,4122
2020-01-31,"Greene County","MS",,1622,954,0.0136,0.0445,0.0115,1849
2020-01-31,"Union County","SD","Sioux City",1623,1102,-0.0151,-0.0299,0.0232,4614
2020-01-31,"O Brien County","IA",,1624,826,0.0173,-0.0298,-0.0304,5966
2020-01-31,"McIntosh County","GA","Brunswick",1625,1228,0.0088,0.0257,0.0123,5485
2020-01-31,"Allamakee County","IA",,1626,856,-0.0122,0.0017,-0.0009,6373
2020-01-31,"Manassas Park City","VA","Washington-Arlington-Alexandria",1627,1696,-0.0004,0.0013,0.0066,5193
2020-01-31,"Newton County","IN","Chicago-Naperville-Elgin",1628,924,-0.0088,-0.0229,0.018,5594
2020-01-31,"Mono County","CA",,1629,2066,0.0036,-0.0132,-0.0123,13023
2020-01-31,"Saline County","NE",,1630,687,-0.0043,-0.009,-0.1741,4462
2020-01-31,"Larue County","KY","Elizabethtown-Fort Knox",1631,866,0.0119,0.0234,0.0155,6185
2020-01-31,"Atoka County","OK",,1632,856,0.0174,0.0282,0.0821,3168
2020-01-31,"Lincoln County","AR","Pine Bluff",1633,762,0.0051,-0.0019,0.0273,2749
2020-01-31,"Sequatchie County","TN","Chattanooga",1634,1015,-0.0208,-0.0056,0.0257,5833
2020-01-31,"Ripley County","MO",,1635,855,0.0064,0.0411,0.041,1173
2020-01-31,"Jackson County","TX",,1636,1289,-0.0121,-0.0127,-0.0036,4604
2020-01-31,"Crawford County","MI",,1637,958,0.005,0.0273,0.0485,7078
