fips,Median Home Value,decile
21237.0,63600.0,1
21239.0,196700.0,9
22001.0,107700.0,4
22003.0,93000.0,3
22005.0,191300.0,9
22007.0,113100.0,5
22009.0,97400.0,3
22011.0,116600.0,5
22013.0,72300.0,1
22015.0,168300.0,8
22017.0,144400.0,7
22019.0,149400.0,7
22021.0,74100.0,1
22023.0,113900.0,5
22025.0,82100.0,2
22027.0,76800.0,1
22029.0,84000.0,2
22031.0,110900.0,5
22033.0,186100.0,9
22035.0,75600.0,1
22037.0,120200.0,5
22039.0,92200.0,3
22041.0,86000.0,2
22043.0,105700.0,4
22045.0,112000.0,5
22047.0,143800.0,7
22049.0,87200.0,2
22051.0,180500.0,8
22053.0,111600.0,5
22055.0,177500.0,8
22057.0,151600.0,7
22059.0,80000.0,2
22061.0,150600.0,7
22063.0,159900.0,8
22065.0,65500.0,1
22067.0,90900.0,3
22069.0,122600.0,6
22071.0,219600.0,9
22073.0,140900.0,7
22075.0,173200.0,8
22077.0,131700.0,6
22079.0,138600.0,7
22081.0,80800.0,2
22083.0,87200.0,2
22085.0,92300.0,3
22087.0,142400.0,7
22089.0,189300.0,9
22091.0,86900.0,2
22093.0,152500.0,7
22095.0,152600.0,7
22097.0,104200.0,4
