NAME,fips,% Housing Units Occupied,% Unemployment Rate,% Born in State,% <HS,% HS Grad,% Some College,% Bach Degree,% Grad Degree,% Below Pov Level,Commute Time,Median Income,Median Home Value,state_1.0,state_2.0,state_4.0,state_5.0,state_6.0,state_8.0,state_9.0,state_10.0,state_11.0,state_12.0,state_13.0,state_15.0,state_16.0,state_17.0,state_18.0,state_19.0,state_20.0,state_21.0,state_22.0,state_23.0,state_24.0,state_25.0,state_26.0,state_27.0,state_28.0,state_29.0,state_30.0,state_31.0,state_32.0,state_33.0,state_34.0,state_35.0,state_36.0,state_37.0,state_38.0,state_39.0,state_40.0,state_41.0,state_42.0,state_44.0,state_45.0,state_46.0,state_47.0,state_48.0,state_49.0,state_50.0,state_51.0,state_53.0,state_54.0,state_55.0,state_56.0
"Madison County, Missouri",29123,0.834919045,0.022,0.800081934,0.125194592,0.24170422,0.228512905,0.071118394,0.035149529,0.151904957,120165,22470,98600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wright County, Missouri",29229,0.837390905,0.041,0.643962171,0.130104412,0.300114798,0.171377029,0.048324496,0.028754168,0.243809107,174855,19116,100400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vernon County, Missouri",29217,0.85621463,0.022,0.626600938,0.076506694,0.279445169,0.193707409,0.070320429,0.047508579,0.131409792,140060,23512,99000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saline County, Missouri",29195,0.842633599,0.023,0.709332525,0.104882694,0.25928491,0.175958791,0.075361441,0.042853433,0.153796208,167455,24778,102000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nodaway County, Missouri",29147,0.850812256,0.023,0.669446046,0.041601987,0.213110392,0.1442764,0.085066749,0.068656584,0.20149022,172630,19792,124600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chariton County, Missouri",29041,0.668350168,0.018,0.867346939,0.069970845,0.343758283,0.159157169,0.085210708,0.044261861,0.115425391,70415,23699,91600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grundy County, Missouri",29079,0.796044746,0.021,0.736925989,0.081581831,0.269349537,0.196135073,0.076202809,0.050503038,0.158481921,73840,23044,91400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morgan County, Missouri",29141,0.497849393,0.018,0.625415901,0.1462482,0.283110692,0.186373343,0.057456423,0.033470726,0.225505289,172195,20933,122300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wayne County, Missouri",29223,0.67300803,0.039,0.770739405,0.179140367,0.271490833,0.199428915,0.049744515,0.024496543,0.236324016,100470,18081,74900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bollinger County, Missouri",29017,0.794588155,0.024,0.803843335,0.145916456,0.329777705,0.166435958,0.047471704,0.019298103,0.168878756,142710,21727,105400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cape Girardeau County, Missouri",29031,0.874638868,0.032,0.726865329,0.059585823,0.205888361,0.180315101,0.122210306,0.073808794,0.163423727,687475,25863,155000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
